Store Name,Address,Timings,Phone Number,Latitude,Longitude
 PH Gopalapatnam Visakhapatnam ,"D No 9/45/1, Simhachalam Rd, Gopalapatnam, Simhachalam, Visakhapatnam - 530027",Open until 11:00 PM,18002022022,17.75260261,83.21847553
 PH Madhurwada ,"No 3 & 4, Gr Flr, SVS Singana Plaza, Car Shed Junction, PM Palem, Visakhapatnam - 530041",Open until 11:00 PM,18002022022,17.802468,83.353499
 PH Duvvada Visakhapatnam ,"30/77/17, Kanitha Gandhi Statue, R H Col, Vuda Col, Duvada Station Rd, Kurmannapalem, Visakhapatnam - 530046",Open until 11:00 PM,18002022022,17.69684835,83.16283432
 Ramanayyapeta ,"No 4/21, 82 East, SRMT Mall & Multiplex, Pithapuram Kakinada Road, Ramanayyapeta, Kakinada - 533005",Open until 11:00 PM,18002022022,16.997969,82.243554
 Gandhi Puram 3 ,"House No 78/9/11/2, Gandhi Puram 3, Rajahmundry - 533103",Open until 11:00 PM,18002022022,17.005112,81.787878
 PH JP Road Bhimavaram ,"No 7/213, JP Road, Bhimavaram - 534204",Open until 11:00 PM,18002022022,16.5417801,81.50230019
 PH Vizianagaram ,"No 102 & 103, Teja Plaza, 100ft Ring Road, Dharmapuri, Vizianagaram - 535002",Open until 11:00 PM,18002022022,18.102642,83.415964
 PH Zero Points Tinali Itanagar ,"Zero Point Tinali, NH 52A, Cona County, Itanagar - 791113",Open until 11:00 PM,18002022022,27.10135868,93.6287529
 GS Road ,"SN 1&2, 1st Flr, Dona Planet, GS Road, Guwahati - 781005",Open until 11:00 PM,18002022022,26.161401,91.76976002
 Hatigaon ,"Dag No 401 & 1443, Hatigaon, Guwahati - 781005",Open until 11:00 PM,18002022022,26.1417801,91.7864801
 PH NCS Square Mall Adabari ,"Unit No 2, Food Court, NCS Square Mall, Assam Trunk Road, Adabari, Guwahati - 781014",Open until 11:00 PM,18002022022,26.1583462,91.6803797
 Ganeshguri ,"SN 5 to 7, 3rd Floor, City Center Mall, Christian Basti, GS Road, Ganeshguri, Kamrup - 781019",Open until 11:00 PM,18002022022,26.1549781,91.7819557
 PH Lal Ganesh Guwahati ,"Lal Ganesh, Lokhra Road, Ganapati Nagar, Kamrup - 781032",Open until 11:00 PM,18002022022,26.144267,91.741502
 PH KRC Plaza Tezpur ,"KRC Plaza, Tezpur Main Rd, Kacharigaon, Mahabhairab, Tezpur - 784001",Open until 11:00 PM,18002022022,26.625935,92.789873
 PH Junction Mall Dibrugarh ,"Shop No G2 & 5, Junction Mall, RKB Path, Dibrugarh - 786001",Open until 11:00 PM,18002022022,27.479675,94.905053
 PH Tinsukhia Assam ,"S No G167, Ground Floor, Prithvi Tower, Devi Pokhari Road, Tinsukia - 786125",Open until 11:00 PM,18002022022,27.49201959,95.36012231
 Kanakpur ,"T39, 3rd Floor, Goldighi Mall, Central Road, Janiganj Bazar, Kanakpur, Silchar - 788001",Open until 11:00 PM,18002022022,24.8229454,92.7995694
 PH Sri Krishna Puri Patna ,"No B8, Children's Park Road, Sri Krishna Puri, Patna - 800001",Open until 11:00 PM,18002022022,25.61149914,85.11584545
 PH Ambuja City Centre Mall Patna ,"3rd Flr, Ambuja City Centre Mall, Christian Colony, Chajju Bagh, Patna - 800001",Open until 11:00 PM,18002022022,25.61767492,85.1355466
 Kurji ,"T16 & T17, 3rd Flr, P&M Mall, Patliputra Colony, Kurji, Patna - 800013",Open until 11:00 PM,18002022022,25.633986,85.106268
 PH P and M Mall Patna ,"No T1, Plot No C20P & C21, P & M Mall, Patliputra Kurji Road, Patliputra Col, Patna - 800013",Open until 11:00 PM,18002022022,25.63408326,85.1063725
 PH P and M Mall Patna ,"No T1, Plot No C20P & C21, P & M Mall, Patliputra Kurji Road, Patliputra Col, Patna - 800013",Open until 11:00 PM,18002022022,25.63408326,85.1063725
 Rajinder Nagar ,"Sri Ram Enclave, Arya Kumar Road, Block B, Rajinder Nagar, Patna - 800016",Open until 11:00 PM,18002022022,25.6080176,85.159187
 Ashiana Rd ,"Gr Flr, Tawheed Complex, Ashiana Rd, Patna - 800025",Open until 11:00 PM,18002022022,25.6159823,85.0823438
 PH Gola Road Patna ,"Belle Matrix Saloon, Bailey Road, Gola Road, Danapur, Patna - 801503",Open until 11:00 PM,18002022022,25.616919,85.056873
 Bhagalpur ,"Rajbir Tower, Tilkamajhi Chowk, RBSS Road, Bhagalpur, Bhagalpur - 812001",Open until 11:00 PM,18002022022,25.2562322,86.9956979
 New Colony ,"Ground Floor, Yamuna Complex, Mithanpura Chowk, New Colony, Muzaffarpur - 842001",Open until 11:00 PM,18002022022,26.120889,85.364621
 PH Bhawanipur Zirat Motihari ,"S & U Arcade, Bhawanipur Zirat, Arya Samaj Rd, Motihari, Motihari - 845401",Open until 11:00 PM,18002022022,26.647121,84.927327
 PH Navratan Hata Purnia ,"Ford Company Chowk, NH 31, Navratan Hata, Purnia - 854302",Open until 11:00 PM,18002022022,25.77990286,87.47911693
 PH Elante Mall Chandigarh ,"No 303A, Plot No 178 & 178A, 3rd Flr, Phase 1, Industrial Area, Chandigarh - 160002",Open until 11:00 PM,18002022022,30.70566018,76.80111126
 PH Sector 26 Chandigarh ,"SCO 41, Ground Floor, Madhya Marg, Sector 26, Chandigarh - 160019",Open until 11:00 PM,18002022022,30.7252511,76.80597323
 Sector 35B ,"SCO 345, Sector 35B, Chandigarh - 160035",Open until 11:00 PM,18002022022,30.72439167,76.764725
 Sector 40C ,"SCO 86, Basement & Ground Floor, Sector 40C, Chandigarh - 160036",Open until 11:00 PM,18002022022,30.735754,76.735279
 Surya Vihar ,"UGF, Surya Treasure Island, Surya Vihar, Bhilai - 490020",Open until 11:00 PM,18002022022,21.2184158,81.320376
 PH-Durg ,"Khasra No 139/27, Omisha's Sanctum, Main Road, Adarsh Nagar, Durg - 491001",Open until 11:00 PM,18002022022,21.173341,81.293881
 Jail Road ,"Shop No 1 & 2, Raheja Tower, Fafadhi Chowk, Jail Road, Raipur - 492001",Open until 11:00 PM,18002022022,21.256565,81.63702001
 PH Lake Front ,"Jal Vihar Colony, Marine Drive, Lake Front, Telibanda, Raipur - 492001",Open until 11:00 PM,18002022022,21.239031,81.660921
 PH Ambuja City Center Raipur ,"C132/133, 1st Floor, Ambuja City Centre, Main Vidhan Sabha Road, Mowa, Raipur - 492007",Open until 11:00 PM,18002022022,21.2753282,81.68730135
 PH GE Road ,"Plot No 27, Ground Floor, GE Road, Raipur - 492010",Open until 11:00 PM,18002022022,21.243937,81.607688
 Talapara ,"2nd Floor, Food Court, Rama Magneto Mall, Talapara, Bilaspur - 495004",Open until 11:00 PM,18002022022,22.0716417,82.149254
 PH Wea Tank Road Karol Bagh ,"No 17A & 54, Ajmal Khan Road, Block 10, WEA Tank Road, Karol Bagh, New Delhi - 110005",Open until 11:00 PM,18002022022,28.64597061,77.19064141
 Kamla Nagar ,"No FC 14, E116, Spark Mall, Block C, Bungalow Road, Kamla Nagar, New Delhi - 110007",Open until 11:00 PM,18002022022,28.681191,77.203866
 PH Nangia Park Delhi ,"No 29/6, Nangia Park Chowk, Shakti Nagar, New Delhi - 110007",Open until 11:00 PM,18002022022,28.67936237,77.1955185
 Dr Mukherjee Nagar ,"GF 2012, Ground Floor, Kingsway Camp, GTB Nagar, Outram Line, Dr Mukherjee Nagar, New Delhi - 110009",Open until 11:00 PM,18002022022,28.699494,77.208006
 Kirti Nagar ,"SN 25, Tagore Market, Kirti Nagar, New Delhi - 110015",Open until 11:00 PM,18002022022,28.65472742,77.13763867
 Malviya Nagar ,"SN 17 & 18, Corner Market, Malviya Nagar, New Delhi - 110017",Open until 11:00 PM,18002022022,28.53863026,77.21382413
 Saket ,"No 29, Community Centre, Saket, New Delhi - 110017",Open until 11:00 PM,18002022022,28.5231591,77.2078467
 Nehru Place ,"Shop No 8 & 9, Satyam Cinema, Nehru Place, New Delhi - 110019",Open until 11:00 PM,18002022022,28.55013283,77.25083493
 Vikaspuri ,"G8, Sonia Theatres, Community Centre, Vikaspuri, New Delhi - 110019",Open until 11:00 PM,18002022022,28.63883605,77.07450785
 Kalkaji ,"L 15, CR Park Main Road, Kalkaji, New Delhi - 110019",Open until 11:00 PM,18002022022,28.53708773,77.25741422
 PH Satya Niketan Delhi ,"Shop No 123 & 124, Satya Niketan, New Delhi - 110021",Open until 11:00 PM,18002022022,28.58826346,77.16831046
 Lajpat Nagar 2 ,"K95, Veer Savarkar Marg, Lajpat Nagar 2, New Delhi - 110024",Open until 11:00 PM,18002022022,28.56745556,77.24691111
 Jasola ,"Unit No 15B, 16 Splendor Forum, District Centre, Jasola, New Delhi - 110025",Open until 11:00 PM,18002022022,28.5374901,77.286841
 PH Club Road Punjabi Bagh ,"No 18 NWA, CH Balbir Singh Marg, Club Road, West Punjabi Bagh, New Delhi - 110026",Open until 11:00 PM,18002022022,28.666555,77.122311
 Rajouri Garden ,"J 13/37, Keshav Marg, Rajouri Garden, New Delhi - 110027",Open until 11:00 PM,18002022022,28.64017257,77.1197651
 Subhash Nagar ,"2nd Floor, Pacific Mall, Food Court, Subhash Nagar, New Delhi - 110027",Open until 11:00 PM,18002022022,28.642209,77.106347
 Rajouri Garden ,"No 10, Eros TDI Mall, Vishal Enclave, Vishal Cinema Road, Rajouri Garden, New Delhi - 110027",Open until 11:00 PM,18002022022,28.6508501,77.120592
 Shahdara ,"Shop No 14 & 15, Aggarwal Funcity Mall, Plot No 30 & 31, Shahdara, New Delhi - 110032",Open until 11:00 PM,18002022022,28.660757,77.297612
 PH Cross River Mall Shahdara ,"Unit No G09, Cross River Mall, Vishwas Nagar Extension, Shahdara, New Delhi - 110032",Open until 11:00 PM,18002022022,28.65742062,77.30249938
 PH Durgapuri Shahdara ,"No C543, Main 100 Feet Rd, Chhajjupur, Babarpur, Durgapuri, Shahadra, New Delhi - 110032",Open until 11:00 PM,18002022022,28.68946553,77.28560543
 PH Adarsh Nagar Delhi ,"No B 45, Rajan Babu Road, Adarsh Nagar, New Delhi - 110033",Open until 11:00 PM,18002022022,28.71867352,77.17283406
 Rani Bagh ,"No 08, Ground Floor, PP City Centre, Pitampura, Rani Bagh, New Delhi - 110034",Open until 11:00 PM,18002022022,28.689342,77.134666
 IGI Airport ,"Terminal 2, IGI Airport, New Delhi - 110037",Open until 11:00 PM,18002022022,28.5562187,77.0954561
 PH IGI T3 Metro station ,"Shop No 1, Level 1, Terminal 3, Metro Station IGI Airport, New Delhi - 110037",Open until 11:00 PM,18002022022,28.55751801,77.08725408
 IGI Airport ,"No 11, 2nd Floor, Food Court, Aerocity, World Mark 1, IGI Airport, New Delhi - 110037",Open until 11:00 PM,18002022022,28.550658,77.121874
 PH Devli Road New Delhi ,"No D139, Devli Road, Krishna Nagar, New Delhi - 110044",Open until 11:00 PM,18002022022,28.507386,77.232224
 Najafgarh ,"Plot No 25, Khasra No 503, Ground Floor, Block B, Najafgarh, New Delhi - 110045",Open until 11:00 PM,18002022022,28.6080083,76.98784002
 Mahavir Enclave ,"Shop No 4 & 5, RZ A1, Palam Dabri Road, Mahavir Enclave, New Delhi - 110045",Open until 11:00 PM,18002022022,28.6000401,77.081901
 August Kranti Marg ,"BG 05, Ground Floor, Ansal Plaza Mall, Khel Gaon, August Kranti Marg, New Delhi - 110049",Open until 11:00 PM,18002022022,28.56268512,77.22452078
 PH Geeta Colony New Delhi ,"No 30A, Ground Floor, Patparganj Road, Geeta Colony, New Delhi - 110051",Open until 11:00 PM,18002022022,28.653955,77.277229
 Ashok Vihar Phase 2 ,"B 2/3, Ground Floor, Ashok Vihar Phase 2, New Delhi - 110052",Open until 11:00 PM,18002022022,28.69302582,77.17782654
 PH Yamuna Vihar Delhi ,"No C3/59A, Ground Floor, Service Ln, Blk C, Yamuna Vihar, Shahdara, New Delhi - 110053",Open until 11:00 PM,18002022022,28.701752,77.279521
 Prem Nagar ,"No 16 & 4, Prem Nagar, New Delhi - 110058",Open until 11:00 PM,18002022022,28.6360029,77.09621765
 Janakpuri ,"Plot No 19, Satyam Janak Palace, District Centre, Janakpuri, New Delhi - 110058",Open until 11:00 PM,18002022022,28.62980077,77.08227854
 Uttam Nagar ,"Mohan Bhagwati Complex, Plot No 6 & 7, Uttam Nagar, New Delhi - 110059",Open until 11:00 PM,18002022022,28.61985556,77.03491944
 Paschim Vihar ,"SNo 10, Ground Floor, Block A6, Paschim Vihar, New Delhi - 110063",Open until 11:00 PM,18002022022,28.67436378,77.10387301
 PH New Friends Colony ,"Shop No 9, C Block, DDA Market, New Friends Colony, New Delhi - 110065",Open until 11:00 PM,18002022022,28.569454,77.268181
 Vasant Kunj ,"Shop No 15, Vasant Square Mall, Vasant Kunj, New Delhi - 110070",Open until 11:00 PM,18002022022,28.5241061,77.155886
" Dwarka, Sector 20 ","Plot No 23, Main Market, Dwarka, Sector 20, New Delhi - 110075",Open until 11:00 PM,18002022022,28.56830838,77.06292611
 PH Ramphal Chowk Dwarka ,"No E561B, Palam Extension, Ramphal Chowk, Dwarka, Sector 7, New Delhi - 110077",Open until 11:00 PM,18002022022,28.58389886,77.0715898
 PH City Centre Mall Sec 12 Dwarka ,"No G22 & 51, PN 5, Hashtag Food Court, Pocket 8, Block B, Dwarka, Sector 12, New Delhi - 110077",Open until 11:00 PM,18002022022,28.592341,77.0413775
" Dwarka, Sector 14 ","Plot No 06, T 301, Vegas Mall, Pocket 1, Dwarka, Sector 14, New Delhi - 110078",Open until 11:00 PM,18002022022,28.601095,77.028976
 PH Sector 11 Rohini ,"Unit No 1 & 1B, Garg Trade Centre, Plot No 6, Rohini, Sector 11, New Delhi - 110085",Open until 11:00 PM,18002022022,28.73449488,77.11392746
" Rohini, Sector 14 ","G 19 & 20, Ground Floor, Fun City Mall, Prashant Vihar, Rohini, Sector 14, New Delhi - 110085",Open until 11:00 PM,18002022022,28.71248999,77.13620469
 Dilshad Garden ,"Shop No 5A, Metro Station, Dilshad Garden, New Delhi - 110085",Open until 11:00 PM,18002022022,28.67596071,77.32070614
" Rohini, Sector 3 ","No 17, Aggarwal City Plaza, Mangalam Place, Rohini, Sector 3, New Delhi - 110085",Open until 11:00 PM,18002022022,28.70073493,77.11719386
" Rohini, Sector 10 ","G 9, 10, 1/B5, D Mall, District Centre, Rohini, Sector 10, New Delhi - 110085",Open until 11:00 PM,18002022022,28.7162569,77.1141827
 Sector 10 & 11 ,"FA 7/8, Rohini Metro Walk, Sector 10 & 11, New Delhi - 110085",Open until 11:00 PM,18002022022,28.724101,77.11366944
 PH Pandav Nagar Mayur Vihar ,"No P37/38, Phase 1, Pandav Nagar, Mayur Vihar, New Delhi - 110091",Open until 11:00 PM,18002022022,28.60814175,77.29258368
 Mandawali ,"Plot No 11, Gr Flr, LSC Shopping Complex, Fazalpur, Mandawali, New Delhi - 110092",Open until 11:00 PM,18002022022,28.6303034,77.3012447
 Laxmi Nagar ,"Shop No 103, 1st Floor, V3S Mall, District Center, Laxmi Nagar, New Delhi - 110092",Open until 11:00 PM,18002022022,28.6368538,77.2862815
 Bardez ,"Amara Apartment, Naika Vaddo, Calangute, Bardez, North Goa - 403516",Open until 11:00 PM,18002022022,15.536344,73.7644901
 Calungunte ,"House No 6/232, Cobra Vaddo, Calangute Baga Road, Bardez, North Goa - 403516",Open until 11:00 PM,18002022022,15.5529258,73.7580198
 Alto Porvorim ,"House No 250B, NH 66, Alto Porvorim, Porvorim - 403521",Open until 11:00 PM,18002022022,15.5317214,73.8240407
 Fatorda ,"E1 to E4,E13 to E16, Osia Commercial Arc, E Wing, SGPDA Market Complex, Margao - 403601",Open until 11:00 PM,18002022022,15.285504,73.958392
 150 Feet Ring Road ,"SN 6, Ground Floor, Solitaire Building, 150 Feet Ring Road, Rajkot - 360005",Open until 11:00 PM,18002022022,22.28288001,70.77471001
 PH HB Empire Jamnagar ,"Shop No 1, Ground Floor, HB Empire, PN Marg, Jamnagar, Jamnagar - 361008",Open until 11:00 PM,18002022022,22.479446,70.062303
 Waghwadi Road ,"Ground Floor, Swarnadeep Building, Waghwadi Road, Bhavnagar - 364001",Open until 11:00 PM,18002022022,21.76439001,72.14722001
 PH Gandhidham ,"Unit No 1 & 2, Gr Flr, Aura Building, PN 23, Ward 6 Commercial, Airport Road, Gandhidham - 370201",Open until 11:00 PM,18002022022,23.076301,70.107309
 PH Maninagar ,"SN 1, Gr Flr, Rajdeep Dream Building, Pushpakunj, Maninagar, Ahmedabad - 380008",Open until 11:00 PM,18002022022,23.0020345,72.599225
 Ashram Road ,"No 956, Grnd Flr, City Gold Multiplex, Ashram Road, Ahmedabad - 380009",Open until 11:00 PM,18002022022,23.03206707,72.57022329
 Vastapur Lake ,"TP No 1, 3rd Floor, Alpha One Mall, FP No 216, Vastapur Lake, Ahmedabad - 380015",Open until 11:00 PM,18002022022,23.040211,72.530881
 Naryanpura ,"Shop No 6, Ground Floor, Shivalik Yash, 132 Feet Ring Road, Naryanpura, Ahmedabad - 380015",Open until 11:00 PM,18002022022,23.0619459,72.55306754
 PH IIM Road Ambawadi ,"Ground Floor, Shivalik Plaza, Ambawadi, Ahmedabad - 380015",Open until 11:00 PM,18002022022,23.028619,72.542379
 Prahlad Nagar ,"A 8, Ground Floor, Tower A, Safal Pegasus, Prahlad Nagar, Ahmedabad - 380051",Open until 11:00 PM,18002022022,23.01243001,72.51115001
 SP Ring Road ,"Amrapali Axiom, SP Ring Road, Ahmedabad - 380058",Open until 11:00 PM,18002022022,23.0266872,72.476956
 PIZZA HUT Science City ,"Shop/Unit No 2B, Gr Flr, The Obelisk, Science City Sola Road, Sola, Ahmedabad - 380060",Open until 11:00 PM,18002022022,23.08007111,72.5012401
 PH Girivar Galaxy Complex Vastral ,"Ground Floor, Girivar Galaxy Complex, Pranami Ngr, Sardar Patel Ring Rd, Vastral, Ahmedabad - 382418",Open until 11:00 PM,18002022022,23.002627,72.66685001
 Gandhi Ngr ,"UN 1 to 6 , GF, Pramukh Mastana Arcade, Kudasan Rd, Urja Ngr, Kudasan, Gandhi Ngr, Gandhinagar - 382421",Open until 11:00 PM,18002022022,23.185442,72.636087
 Chandkheda ,"No 2, Ground Floor, Atishay Prism, Tapovan Circle, Visat Koba Rd, Chandkheda, Ahmedabad - 382424",Open until 11:00 PM,18002022022,23.1190567,72.6132665
 Vande Matram ,"No G2, Savvy Swaraaj Sports Club, Vandemataram, Godrej Garden City Rd, Gota, Ahmedabad - 382481",Open until 11:00 PM,18002022022,23.104041,72.5498411
 Pizza hut Nadiad ,"Unit No 2, Shree Hari Complex, Uttar Sanda Road, Nadiad - 387001",Open until 11:00 PM,18002022022,22.674656,72.882339
 Sujitra Road ,"Shop No 25/26, GF, Maruti Solaris Mall, Sujitra Road, Anand - 388001",Open until 11:00 PM,18002022022,22.542031,72.946891
 PH Akota ,"Shop No 24, Ground Floor, Crossway Mall, Shanadevi Marg, Dandia Bazar Rd, Akota, Vadodara - 390001",Open until 11:00 PM,18002022022,22.3002301,73.194614
 Race Course Road ,"Akashganga Complex, Race Course Road, Vadodara - 390007",Open until 11:00 PM,18002022022,22.3121136,73.1657534
 Nilamber Circle ,"Shop No 7 & 8, Gr Flr, Nilamber Triumph, Vasna Gotri Road, Nilamber Circle, Vadodara - 390007",Open until 11:00 PM,18002022022,22.301578,73.1388101
 Manjalpur ,"SN TF 11, 3rd Floor, Eva Mall, Manjalpur, Vadodara - 390011",Open until 11:00 PM,18002022022,22.27346001,73.18874001
 PH Uma Charrasta ,"No 2 Ground Floor, Gajanand Society, Uma Cross Road, Waghodia Road, Vadodara - 390019",Open until 11:00 PM,18002022022,22.3009711,73.229641
 Gorwa ,"Shop No 2&3, 2nd Floor, Inorbt Mall, Alembic Road, Gorwa, Baroda - 390023",Open until 11:00 PM,18002022022,22.31171001,73.16526001
 PH SAMA SALVI VADODARA ,"Shop No 1, 2, 101 & 102 Lotus Aura 2, Sama Savli Road, Vadodara - 390024",Open until 11:00 PM,18002022022,22.355651,73.199057
 PH Bardoli ,"Callista The Mall, Baben, Bardoli - 394601",Open until 11:00 PM,18002022022,21.148945,73.089199
 PIZZA HUT Katargam ,"G 65B/66/67, Gr Flr, Laxmi Enclave 2, Katargram, Surat - 395004",Open until 11:00 PM,18002022022,21.232021,72.8360511
 Ghod Dod Road ,"OB/1, Tribhuvan Complex, Ghod Dod Road, Surat - 395007",Open until 11:00 PM,18002022022,21.175001,72.8013001
 Piplod ,"G7, International Business Center, Gaurav Path Road, Piplod, Surat - 395007",Open until 11:00 PM,18002022022,21.15772001,72.76922001
 Adajan ,"EON Square, L P Savani Road, Adajan, Surat - 395009",Open until 11:00 PM,18002022022,21.18886916,72.79024185
 PH Parvatpatia Surat ,"S No G21, G22 & B1, Gr Flr, The Palace, Godadara Road, Parvat Patia, Surat - 395010",Open until 11:00 PM,18002022022,21.183011,72.871054
 PIZZA HUT FCD ,"Shop No 06 to 08, Sai Leela Mall, Sonanagar, Abrama, Valsad - 396001",Open until 11:00 PM,18002022022,20.594419,72.9342801
 NH 8 ,"Hotel Fortune Galaxy, GIDC, NH 8, Vapi - 396195",Open until 11:00 PM,18002022022,20.3741001,72.92021001
 PH Navsari ,"Shop No 1 & 2, 74 to 76, 174 & 175, Central Bazar Mall, Luncikui Gandevi Road, Navsari - 396445",Open until 11:00 PM,18002022022,20.936701,72.940335
 New Industrial Town ,"Piyush Mahendra Metropolitian Mall, No 28 & 29, G27, New Industrial Town, Faridabad - 121001",Open until 11:00 PM,18002022022,28.3925166,77.2981623
 Mathura Rd ,"Shop No 19 & 20, Crown Interiorz Mall, Mathura Rd, Faridabad - 121003",Open until 11:00 PM,18002022022,28.46949621,77.30725452
 Sector 79 ,"SCO 48, Ground & 1st Floor, Omaxe World Street, Sector 79, Faridabad - 121006",Open until 11:00 PM,18002022022,28.387387,77.352642
 PH Crown Plaza Faridabad ,"Shop No LG2, 27/5, Crown Plaza Mall, Azad Colony, Mathura Road, Sector 15A, Faridabad - 121007",Open until 11:00 PM,18002022022,28.39787377,77.3129958
 Cyber Greens ,"No A2, Cyber Greens, Cyber City, DLF Phase 3, Gurugram - 122001",Open until 11:00 PM,18002022022,28.494201,77.093063
 DLF Phase 2 ,"No 117D, 1st Floor, Food Court, Cyber City, DLF Phase 2, Gurugram - 122001",Open until 11:00 PM,18002022022,28.495551,77.088532
 Sector 14 ,"SCO 24, Ground Floor, Old Delhi Road, Sector 14, Gurugram - 122001",Open until 11:00 PM,18002022022,28.4758133,77.0446857
 DLF Phase 1 ,"Shop No 1 & 101, DT City Centre Mall, MG Road, DLF Phase 1, Gurugram - 122001",Open until 11:00 PM,18002022022,28.47928821,77.08073594
 Sector 10 A ,"Plot No 19, SCO 3, Urban Estate, Sector 10 A, Gurugram - 122001",Open until 11:00 PM,18002022022,28.43990842,77.0066785
 Sector 38 ,"No 1/2/14977, Medanta Medicity, Ratings, Sector 38, Gurugram - 122001",Open until 11:00 PM,18002022022,28.437527,77.040716
 Sohna Road ,"LG 07 & LG 08, Raheja Mall, Sohna Road, Gurugram - 122001",Open until 11:00 PM,18002022022,28.4236098,77.039278
 PH Ocus Medley Gurugram ,"No G99, Ground Floor, Ocus Medley, Dwarka Expressway, Sector 99, Gurugram - 122001",Open until 11:00 PM,18002022022,28.46683184,76.96940624
 Sector 56 ,"SCO 33, Huda Market, Sector 56, Gurugram - 122002",Open until 11:00 PM,18002022022,28.428034,77.099754
" Ambience Island, NH 8 ","R1, 3rd Floor, Ambience Mall, Ambience Island, NH 8, Gurugram - 122002",Open until 11:00 PM,18002022022,28.50368611,77.09699166
 Sector 39 ,"Grnd Flr, Tower C, Unitech Cyber Park, Sector 39, Gurugram - 122002",Open until 11:00 PM,18002022022,28.44358643,77.05622289
 Sector 50 ,"F 58, 1st Floor, Baani Square, Sector 50, Gurugram - 122002",Open until 11:00 PM,18002022022,28.42574813,77.05740457
 Sushant Lok ,"Shop No B139 & B141, Supermart 1, DLF Phase 4, Sushant Lok, Gurugram - 122002",Open until 11:00 PM,18002022022,28.4624701,77.0875301
 Sector 67 ,"M3M Urbana, Golf Course Extention Road, Sector 67, Gurugram - 122002",Open until 11:00 PM,18002022022,28.3907883,77.0672752
 Sector 53 ,"Shop No 7, Gr Flr, Central Plaza Mall, Golf Course Road, Sector 53, Gurugram - 122003",Open until 11:00 PM,18002022022,28.442965,77.100849
